7:00p	Minnesota Timberwolves	121	New Orleans Pelicans	120	Box Score		15,536	2:21	Smoothie King Center	
8:00p	Miami Heat	97	Chicago Bulls	102	Box Score		18,063	2:18	United Center	
8:00p	Dallas Mavericks	125	Milwaukee Bucks	132	Box Score		18,128	2:07	Fiserv Forum	
8:00p	Memphis Grizzlies	120	San Antonio Spurs	108	Box Score		18,354	2:18	Frost Bank Center	
8:30p	Oklahoma City Thunder	130	Golden State Warriors	123	Box Score	OT	18,064	2:27	Chase Center	
3:00p	Philadelphia 76ers	121	Brooklyn Nets	99	Box Score		17,934	2:08	Barclays Center	
4:00p	Detroit Pistons	113	Toronto Raptors	142	Box Score		19,182	2:11	Scotiabank Arena	
5:00p	Orlando Magic	128	Indiana Pacers	116	Box Score		17,276	2:26	Gainbridge Fieldhouse	
6:00p	Denver Nuggets	109	Cleveland Cavaliers	121	Box Score		19,432	2:05	Rocket Mortgage Fieldhouse	
7:30p	Sacramento Kings	129	Dallas Mavericks	113	Box Score		20,211	2:10	American Airlines Center	
8:00p	Boston Celtics	102	Memphis Grizzlies	100	Box Score		17,798	2:08	FedEx Forum	
8:00p	Phoenix Suns	140	Utah Jazz	137	Box Score	2OT	18,206	2:51	Delta Center	
9:00p	Oklahoma City Thunder	134	Portland Trail Blazers	91	Box Score		18,235	1:59	Moda Center	
9:30p	Houston Rockets	104	Los Angeles Lakers	105	Box Score		18,997	2:21	Crypto.com Arena	
7:00p	Boston Celtics	118	Charlotte Hornets	121	Box Score	OT	19,134	2:19	Spectrum Center	
7:00p	Denver Nuggets	107	Detroit Pistons	103	Box Score		19,403	2:15	Little Caesars Arena	
7:00p	Milwaukee Bucks	142	Washington Wizards	129	Box Score		17,746	2:05	Capital One Arena	
8:00p	Miami Heat	118	Chicago Bulls	100	Box Score		19,258	2:09	United Center	
8:00p	New York Knicks	100	Minnesota Timberwolves	117	Box Score		18,024	2:19	Target Center	
8:00p	Sacramento Kings	93	New Orleans Pelicans	129	Box Score		16,004	2:10	Smoothie King Center	
8:00p	Los Angeles Clippers	124	San Antonio Spurs	99	Box Score		18,354	2:05	Frost Bank Center	
10:00p	Houston Rockets	116	Golden State Warriors	121	Box Score		18,064	2:09	Chase Center	
7:00p	Toronto Raptors	107	Orlando Magic	126	Box Score		18,846	2:10	Kia Center	In-Season Tournament
7:30p	Indiana Pacers	157	Atlanta Hawks	152	Box Score		17,162	2:18	State Farm Arena	In-Season Tournament
7:30p	Cleveland Cavaliers	122	Philadelphia 76ers	119	Box Score	OT	20,565	2:51	Wells Fargo Center	In-Season Tournament
9:00p	Portland Trail Blazers	107	Phoenix Suns	120	Box Score		17,071	2:16	Footprint Center	In-Season Tournament
10:00p	Utah Jazz	99	Los Angeles Lakers	131	Box Score		18,997	2:09	Crypto.com Arena	In-Season Tournament
7:00p	Washington Wizards	114	Charlotte Hornets	117	Box Score		16,432	2:12	Spectrum Center	
7:00p	Denver Nuggets	119	Orlando Magic	124	Box Score		18,237	2:22	Kia Center	
7:30p	Brooklyn Nets	145	Atlanta Hawks	147	Box Score	OT	17,340	2:37	State Farm Arena	
7:30p	Milwaukee Bucks	116	Boston Celtics	119	Box Score		19,156	2:13	TD Garden	
7:30p	Miami Heat	129	Cleveland Cavaliers	96	Box Score		19,432	2:10	Rocket Mortgage Fieldhouse	
7:30p	Toronto Raptors	132	Indiana Pacers	131	Box Score		17,091	2:19	Gainbridge Fieldhouse	
8:00p	Memphis Grizzlies	91	Houston Rockets	111	Box Score		18,055	2:17	Toyota Center	
8:00p	Philadelphia 76ers	99	Minnesota Timberwolves	112	Box Score		18,024	2:09	Target Center	
8:00p	Sacramento Kings	112	New Orleans Pelicans	117	Box Score		16,012	2:26	Smoothie King Center	
8:00p	Chicago Bulls	102	Oklahoma City Thunder	116	Box Score		18,203	2:14	Paycom Center	
8:00p	Los Angeles Clippers	109	San Antonio Spurs	102	Box Score		18,354	2:16	Frost Bank Center	
10:00p	Golden State Warriors	115	Phoenix Suns	123	Box Score		17,071	2:45	Footprint Center	
10:00p	Utah Jazz	105	Portland Trail Blazers	121	Box Score		17,819	2:07	Moda Center	
10:30p	Dallas Mavericks	104	Los Angeles Lakers	101	Box Score		18,997	2:12	Crypto.com Arena	
2:30p	Boston Celtics	96	Orlando Magic	113	Box Score		18,846	2:17	Kia Center	In-Season Tournament
5:00p	Phoenix Suns	110	Memphis Grizzlies	89	Box Score		17,794	2:06	FedEx Forum	In-Season Tournament
7:30p	Miami Heat	98	New York Knicks	100	Box Score		19,812	2:18	Madison Square Garden (IV)	In-Season Tournament
7:30p	Chicago Bulls	108	Toronto Raptors	121	Box Score		19,800	2:12	Scotiabank Arena	In-Season Tournament
8:00p	Denver Nuggets	86	Houston Rockets	105	Box Score		18,055	2:07	Toyota Center	In-Season Tournament
8:00p	Detroit Pistons	113	Indiana Pacers	136	Box Score		17,274	2:14	Gainbridge Fieldhouse	In-Season Tournament
