Mon, Oct 30, 2023	7:30p	Portland Trail Blazers	99	Toronto Raptors	91	Box Score		19,266	2:03	Scotiabank Arena	
Mon, Oct 30, 2023	7:30p	Minnesota Timberwolves	113	Atlanta Hawks	127	Box Score		15,504	2:05	State Farm Arena	
Mon, Oct 30, 2023	8:00p	Dallas Mavericks	125	Memphis Grizzlies	110	Box Score		15,031	2:14	FedEx Forum	
Mon, Oct 30, 2023	8:00p	Miami Heat	114	Milwaukee Bucks	122	Box Score		17,341	2:24	Fiserv Forum	
Mon, Oct 30, 2023	8:00p	Golden State Warriors	130	New Orleans Pelicans	102	Box Score		17,286	2:08	Smoothie King Center	
Mon, Oct 30, 2023	8:00p	Detroit Pistons	112	Oklahoma City Thunder	124	Box Score		16,127	2:18	Paycom Center	
Mon, Oct 30, 2023	9:00p	Utah Jazz	102	Denver Nuggets	110	Box Score		19,671	2:11	Ball Arena	
Mon, Oct 30, 2023	10:30p	Orlando Magic	103	Los Angeles Lakers	106	Box Score		18,997	2:18	Crypto.com Arena	
Tue, Oct 31, 2023	7:30p	New York Knicks	109	Cleveland Cavaliers	91	Box Score		19,432	2:14	Rocket Mortgage Fieldhouse	
Tue, Oct 31, 2023	10:00p	San Antonio Spurs	115	Phoenix Suns	114	Box Score		17,071	2:28	Footprint Center	
Tue, Oct 31, 2023	10:30p	Orlando Magic	102	Los Angeles Clippers	118	Box Score		14,014	2:17	Crypto.com Arena	
Wed, Nov 1, 2023	7:00p	Portland Trail Blazers	110	Detroit Pistons	101	Box Score		16,912	2:08	Little Caesars Arena	
Wed, Nov 1, 2023	7:00p	Milwaukee Bucks	111	Toronto Raptors	130	Box Score		19,800	2:19	Scotiabank Arena	
Wed, Nov 1, 2023	7:30p	Washington Wizards	121	Atlanta Hawks	130	Box Score		15,925	2:11	State Farm Arena	
Wed, Nov 1, 2023	7:30p	Indiana Pacers	104	Boston Celtics	155	Box Score		19,156	2:03	TD Garden	
Wed, Nov 1, 2023	7:30p	Brooklyn Nets	109	Miami Heat	105	Box Score		19,600	2:14	Kaseya Center	
Wed, Nov 1, 2023	7:30p	Cleveland Cavaliers	95	New York Knicks	89	Box Score		19,812	2:22	Madison Square Garden (IV)	
Wed, Nov 1, 2023	7:30p	New Orleans Pelicans	110	Oklahoma City Thunder	106	Box Score		15,764	2:32	Paycom Center	
Wed, Nov 1, 2023	8:00p	Charlotte Hornets	119	Houston Rockets	128	Box Score		16,263	2:08	Toyota Center	
Wed, Nov 1, 2023	8:00p	Denver Nuggets	89	Minnesota Timberwolves	110	Box Score		18,024	2:10	Target Center	
Wed, Nov 1, 2023	8:30p	Chicago Bulls	105	Dallas Mavericks	114	Box Score		20,103	2:07	American Airlines Center	
Wed, Nov 1, 2023	9:00p	Memphis Grizzlies	109	Utah Jazz	133	Box Score		18,206	2:22	Delta Center	
Wed, Nov 1, 2023	10:00p	Sacramento Kings	101	Golden State Warriors	102	Box Score		18,064	2:14	Chase Center	
Wed, Nov 1, 2023	10:00p	Los Angeles Clippers	125	Los Angeles Lakers	130	Box Score	OT	18,997	2:46	Crypto.com Arena	
Thu, Nov 2, 2023	7:00p	Toronto Raptors	99	Philadelphia 76ers	114	Box Score		19,773	2:16	Wells Fargo Center	
Thu, Nov 2, 2023	8:00p	Detroit Pistons	116	New Orleans Pelicans	125	Box Score		15,884	2:21	Smoothie King Center	
Thu, Nov 2, 2023	9:00p	Orlando Magic	115	Utah Jazz	113	Box Score		18,206	2:34	Delta Center	
Thu, Nov 2, 2023	10:00p	San Antonio Spurs	132	Phoenix Suns	121	Box Score		17,071	2:17	Footprint Center	
Fri, Nov 3, 2023	7:00p	Cleveland Cavaliers	116	Indiana Pacers	121	Box Score		16,744	2:19	Gainbridge Fieldhouse	In-Season Tournament
