DAL	CHI	Wed, Nov 1, 2023	8:30p	2024	20103	114	105	2:07	regular
UTA	MEM	Wed, Nov 1, 2023	9:00p	2024	18206	133	109	2:22	regular
GSW	SAC	Wed, Nov 1, 2023	10:00p	2024	18064	102	101	2:14	regular
LAL	LAC	Wed, Nov 1, 2023	10:00p	2024	18997	130	125	2:46	regular
PHI	TOR	Thu, Nov 2, 2023	7:00p	2024	19773	114	99	2:16	regular
NOP	DET	Thu, Nov 2, 2023	8:00p	2024	15884	125	116	2:21	regular
UTA	ORL	Thu, Nov 2, 2023	9:00p	2024	18206	113	115	2:34	regular
PHO	SAS	Thu, Nov 2, 2023	10:00p	2024	17071	121	132	2:17	regular
IND	CLE	Fri, Nov 3, 2023	7:00p	2024	16744	121	116	2:19	ist
MIL	NYK	Fri, Nov 3, 2023	7:30p	2024	17717	110	105	2:37	ist
CHI	BRK	Fri, Nov 3, 2023	8:00p	2024	20645	107	109	2:03	ist
MIA	WAS	Fri, Nov 3, 2023	8:00p	2024	19660	121	114	2:09	ist
OKC	GSW	Fri, Nov 3, 2023	8:00p	2024	16827	139	141	2:39	ist
DEN	DAL	Fri, Nov 3, 2023	10:00p	2024	19729	125	114	2:19	ist
POR	MEM	Fri, Nov 3, 2023	10:00p	2024	18592	115	113	2:40	ist
PHI	PHO	Sat, Nov 4, 2023	1:00p	2024	19796	112	100	2:18	regular
IND	CHO	Sat, Nov 4, 2023	7:00p	2024	15945	124	125	2:32	regular
NOP	ATL	Sat, Nov 4, 2023	7:00p	2024	17237	105	123	2:06	regular
ORL	LAL	Sat, Nov 4, 2023	7:00p	2024	18846	120	101	2:21	regular
BRK	BOS	Sat, Nov 4, 2023	8:00p	2024	17983	114	124	2:10	regular
HOU	SAC	Sat, Nov 4, 2023	8:00p	2024	18055	107	89	2:07	regular
MIN	UTA	Sat, Nov 4, 2023	8:00p	2024	18024	123	95	2:10	regular
DEN	CHI	Sat, Nov 4, 2023	9:00p	2024	19610	123	101	2:08	regular
DET	PHO	Sun, Nov 5, 2023	3:00p	2024	20062	106	120	2:17	regular
SAS	TOR	Sun, Nov 5, 2023	3:30p	2024	18354	116	123	2:36	regular
CLE	GSW	Sun, Nov 5, 2023	6:00p	2024	19432	115	104	2:17	regular
DAL	CHO	Sun, Nov 5, 2023	7:30p	2024	20052	124	118	2:22	regular
POR	MEM	Sun, Nov 5, 2023	9:00p	2024	18187	100	112	2:13	regular
DET	GSW	Mon, Nov 6, 2023	7:00p	2024	20062	109	120	2:09	regular
IND	SAS	Mon, Nov 6, 2023	7:00p	2024	15129	152	111	2:12	regular
ORL	DAL	Mon, Nov 6, 2023	7:00p	2024	19409	102	117	2:22	regular
PHI	WAS	Mon, Nov 6, 2023	7:00p	2024	19765	146	128	2:14	regular
BRK	MIL	Mon, Nov 6, 2023	7:30p	2024	17935	125	129	2:20	regular
MIA	LAL	Mon, Nov 6, 2023	7:30p	2024	19725	108	107	2:10	regular
NYK	LAC	Mon, Nov 6, 2023	7:30p	2024	19812	111	97	2:09	regular
CHI	UTA	Mon, Nov 6, 2023	8:00p	2024	18031	130	113	2:06	regular
HOU	SAC	Mon, Nov 6, 2023	8:00p	2024	15130	122	97	2:17	regular
MIN	BOS	Mon, Nov 6, 2023	8:00p	2024	18024	114	109	2:40	regular
OKC	ATL	Mon, Nov 6, 2023	8:00p	2024	16486	126	117	2:17	regular
DEN	NOP	Mon, Nov 6, 2023	9:00p	2024	19544	134	116	2:09	regular
CHO	WAS	Wed, Nov 8, 2023	7:00p	2024	14267	116	132	2:16	regular
IND	UTA	Wed, Nov 8, 2023	7:00p	2024	14509	134	118	2:09	regular
PHI	BOS	Wed, Nov 8, 2023	7:00p	2024	19953	106	103	2:11	regular
BRK	LAC	Wed, Nov 8, 2023	7:30p	2024	17933	100	93	2:03	regular
NYK	SAS	Wed, Nov 8, 2023	7:30p	2024	19812	126	105	2:12	regular
CHI	PHO	Wed, Nov 8, 2023	8:00p	2024	18220	115	116	2:36	regular
HOU	LAL	Wed, Nov 8, 2023	8:00p	2024	18055	128	94	2:11	regular
MEM	MIA	Wed, Nov 8, 2023	8:00p	2024	16781	102	108	2:28	regular
MIL	DET	Wed, Nov 8, 2023	8:00p	2024	17341	120	118	2:20	regular
MIN	NOP	Wed, Nov 8, 2023	8:00p	2024	18024	122	101	2:07	regular
OKC	CLE	Wed, Nov 8, 2023	8:00p	2024	16314	128	120	2:19	regular
DAL	TOR	Wed, Nov 8, 2023	8:30p	2024	20063	116	127	2:19	regular
DEN	GSW	Wed, Nov 8, 2023	10:00p	2024	19737	108	105	2:20	regular
SAC	POR	Wed, Nov 8, 2023	10:00p	2024	17829	121	118	2:49	regular
IND	MIL	Thu, Nov 9, 2023	7:00p	2024	14648	126	124	2:25	regular
ORL	ATL	Thu, Nov 9, 2023	9:30p	2024	19986	119	120	2:31	regular
DET	PHI	Fri, Nov 10, 2023	7:00p	2024	18902	106	114	2:18	ist
WAS	CHO	Fri, Nov 10, 2023	7:00p	2024	17602	117	124	2:15	ist
BOS	BRK	Fri, Nov 10, 2023	7:30p	2024	19156	121	107	2:11	ist
HOU	NOP	Fri, Nov 10, 2023	8:00p	2024	16236	104	101	2:28	ist
MEM	UTA	Fri, Nov 10, 2023	8:00p	2024	16977	121	127	2:21	ist
SAS	MIN	Fri, Nov 10, 2023	8:00p	2024	18354	110	117	2:17	ist
DAL	LAC	Fri, Nov 10, 2023	8:30p	2024	20377	144	126	2:24	ist
PHO	LAL	Fri, Nov 10, 2023	10:00p	2024	17071	119	122	2:33	ist
SAC	OKC	Fri, Nov 10, 2023	10:00p	2024	18097	105	98	2:22	ist
ORL	MIL	Sat, Nov 11, 2023	6:00p	2024	19354	112	97	2:25	regular
BOS	TOR	Sat, Nov 11, 2023	7:00p	2024	19156	117	94	2:04	regular
ATL	MIA	Sat, Nov 11, 2023	7:30p	2024	17722	109	117	2:13	regular
GSW	CLE	Sat, Nov 11, 2023	8:30p	2024	18064	110	118	2:49	regular
NYK	CHO	Sun, Nov 12, 2023	12:00p	2024	19812	129	107	2:09	regular
BRK	WAS	Sun, Nov 12, 2023	3:00p	2024	17732	102	94	2:17	regular
LAC	MEM	Sun, Nov 12, 2023	3:30p	2024	17220	101	105	2:25	regular
PHI	IND	Sun, Nov 12, 2023	6:00p	2024	19758	137	126	2:06	regular
CHI	DET	Sun, Nov 12, 2023	7:00p	2024	19088	119	108	2:12	regular
HOU	DEN	Sun, Nov 12, 2023	7:00p	2024	18055	107	104	2:10	regular
NOP	DAL	Sun, Nov 12, 2023	7:00p	2024	16302	124	136	2:10	regular
SAS	MIA	Sun, Nov 12, 2023	7:00p	2024	18036	113	118	2:07	regular
PHO	OKC	Sun, Nov 12, 2023	8:00p	2024	17071	99	111	2:15	regular
GSW	MIN	Sun, Nov 12, 2023	8:30p	2024	18064	110	116	2:25	regular
LAL	POR	Sun, Nov 12, 2023	10:00p	2024	18997	116	110	2:11	regular
BOS	NYK	Mon, Nov 13, 2023	7:30p	2024	19156	114	98	2:11	regular
TOR	WAS	Mon, Nov 13, 2023	7:30p	2024	19800	111	107	2:14	regular
MIL	CHI	Mon, Nov 13, 2023	8:00p	2024	17865	118	109	2:16	regular
SAC	CLE	Mon, Nov 13, 2023	10:00p	2024	17829	132	120	2:17	regular
CHO	MIA	Tue, Nov 14, 2023	7:00p	2024	15673	105	111	2:14	ist
DET	ATL	Tue, Nov 14, 2023	7:00p	2024	16963	120	126	2:13	ist
PHI	IND	Tue, Nov 14, 2023	7:00p	2024	19774	126	132	2:37	ist
BRK	ORL	Tue, Nov 14, 2023	7:30p	2024	17361	124	104	2:07	ist
OKC	SAS	Tue, Nov 14, 2023	7:30p	2024	18203	123	87	2:17	ist
