Bogdan Bogdanovic	SG	6-5	225	31	ATL	79	6	KK Partizan (Serbia)	2014 Rnd 1 Pick 27	Serbia
Bojan Bogdanovic	F	6-7	226	34	DET, NYK	57	9	KK Cibona (Croatia)	2011 Rnd 2 Pick 1	Bosnia and Herzegovina
Bol Bol	C	7-3	220	24	PHX	43	4	Oregon	2019 Rnd 2 Pick 14	United States
Marques Bolden	C	6-10	249	25	CHA, MIL	11	2	Duke	2019 NBA Draft, Undrafted	United States
Devin Booker	SG	6-6	206	27	PHX	68	8	Kentucky	2015 Rnd 1 Pick 13	United States
Brandon Boston Jr.	SG	6-6	188	22	LAC	32	2	Kentucky	2021 Rnd 2 Pick 21	United States
Chris Boucher	PF	6-9	200	31	TOR	50	6	Oregon	2017 NBA Draft, Undrafted	Saint Lucia
James Bouknight	G	6-4	190	23	CHA	14	2	UConn	2021 Rnd 1 Pick 11	United States
Jamaree Bouyea	G	6-2	180	24	POR, SAN	9	1	San Francisco	2022 NBA Draft, Undrafted	United States
Malaki Branham	GF	6-4	180	20	SAS	75	1	Ohio State	2022 Rnd 1 Pick 20	United States
Christian Braun	SF	6-6	220	22	DEN	82	1	Kansas	2022 Rnd 1 Pick 21	United States
Mikal Bridges	SG	6-6	209	27	BRK	82	5	Villanova	2018 Rnd 1 Pick 10	United States
Miles Bridges	SF	6-7	225	25	CHA	69	4	Michigan State	2018 Rnd 1 Pick 12	United States
Oshae Brissett	PF	6-7	210	25	BOS	55	4	Syracuse	2019 NBA Draft, Undrafted	Canada
Izaiah Brockington	G	6-4	200	24	NOP	1	0	Iowa State	2022 NBA Draft, Undrafted	United States
Malcolm Brogdon	SG	6-4	229	31	POR	39	7	Virginia	2016 Rnd 2 Pick 6	United States
Armoni Brooks	SG	6-3	195	25	BRK	10	2	Houston	2019 NBA Draft, Undrafted	United States
Dillon Brooks	F	6-6	225	28	HOU	72	6	Oregon	2017 Rnd 2 Pick 15	Canada
Greg Brown III	SF	6-7	206	22	DAL	6	2	Texas	2021 Rnd 2 Pick 13	United States
Jaylen Brown	SF	6-6	223	27	BOS	70	7	California	2016 Rnd 1 Pick 3	United States
Bruce Brown	SG	6-4	202	27	IND, TOR	67	5	Miami (FL)	2018 Rnd 2 Pick 12	United States
Charlie Brown Jr.	SG	6-6	199	27	NYK	8	3	Saint Joseph's	2019 NBA Draft, Undrafted	United States
Troy Brown Jr.	SF	6-7	215	24	DET, MIN	59	5	Oregon	2018 Rnd 1 Pick 15	United States
Kendall Brown	G	6-7	205	20	IND	15	1	Baylor	2022 Rnd 2 Pick 18	United States
Kobe Brown	GF	6-7	250	24	LAC	44	0	Missouri	2023 Rnd 1 Pick 30	United States
Moses Brown	C	7-2	258	24	POR	22	4	UCLA	2019 NBA Draft, Undrafted	United States
Jalen Brunson	PG	6-2	190	27	NYK	77	5	Villanova	2018 Rnd 2 Pick 3	United States
Thomas Bryant	C	6-10	248	26	MIA	38	6	Indiana	2017 Rnd 2 Pick 12	United States
